,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1,"Coastal dolphins",,,,,,1.000,9.527,1.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Offshore dolphins",,,,,,1.000,2.000,,,8.833,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Baleen whales",,,,,,,,,,8.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seabird,,,,7.409,,,9.527,,1.000,8.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Sea turtle",,,,,,,1.000,,1.000,8.833,,,,,,9.458,,,,,,,,,,,,,,,,8.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Blacktip shark",,,,,,1.000,1.000,9.008,1.750,8.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Dusky shark",,,,,,1.000,9.527,1.000,1.000,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Sandbar shark",,,,,,1.000,1.000,1.000,1.000,8.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Large coastal sharks",,,,,,1.000,9.527,1.000,1.000,8.833,,,10.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Large oceanic sharks",,,,,,,9.527,1.000,1.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Atlantic sharpnose shark",8.032,,,,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,8.171,,7.525,,6.735,8.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Small coastal sharks",8.032,,,,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,,9.307,,,9.526,,,9.081,,,,,,,8.171,,7.525,,6.735,8.737,,,,,,,,,,,100000000,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
13,"Yellowfin tuna",,,,,,1.000,9.527,1.000,1.000,1.000,,,10.000,9.307,1000.0,9.458,9.526,7.498,,9.081,,7.659,,,,,8.171,,7.525,,6.735,8.737,,,,,,,,,,,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Bluefin tuna",,,,,,1.000,9.527,9.008,1.000,1.000,,,10.000,9.307,15.00,9.458,9.526,,,9.081,,7.659,,,,,8.171,,7.525,,6.735,8.737,,,,,,,,,,,10.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Other tunas",,,,,,1.000,9.527,1.000,1.000,1.000,,,10.000,9.307,1000.0,1.000,1.000,7.498,,1.000,,1.000,,,,,1.000,,1.000,,1.000,1.000,,,,,,,,,,,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Billfish,,,,,,,9.527,,1.000,1.000,,,10.000,,1000.0,1.000,,7.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Swordfish,,,,,,,1.000,,1.000,1.000,,,10.000,,1000.0,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Pelagic coastal piscivores",8.032,2.000,2.000,7.409,7.929,1.000,9.527,1.000,1.000,8.833,7.817,1.000,10.000,9.307,1000.0,9.458,2.000,7.498,8.662,9.081,,7.659,,8.505,5.389,,8.171,,7.525,,6.735,8.737,8.591,8.215,7.754,7.959,,6.032,,,6.549,100000000,100000000,7.491,1000.0,5.006,1000.0,,,7.217,,,,,,,2.000,,,,,,,,,,,,,,,,,
19,Amberjack,8.032,2.000,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,9.081,,7.659,,8.505,5.389,,8.171,,7.525,,6.735,8.737,8.591,8.215,7.754,7.959,,6.032,,,6.549,100000000,100000000,7.491,1000.0,5.006,1000.0,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
20,Cobia,8.032,2.000,,,,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,9.081,,7.659,,8.505,5.389,,8.171,,7.525,,6.735,8.737,8.591,8.215,,,,6.032,,,,,100000000,,1000.0,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
21,"King mackerel (0-1yr)",8.032,,,7.409,,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,,7.659,,8.505,5.389,,8.171,,7.525,,,8.737,,,,,,,,,,,100000000,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"King mackerel (1+yr)",8.032,2.000,,,,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,,,,8.505,,,8.171,,7.525,,,8.737,,,,,,,,,,,100000000,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Spanish mackerel (0-1yr)",8.032,,,7.409,,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,,1.000,,8.505,5.389,,8.171,,7.525,,,8.737,,,,,,,,,6.549,100000000,100000000,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Spanish mackerel (1+yr)",8.032,2.000,,,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,,1.000,,,,,8.171,,7.525,,,8.737,,,,,,,,,,,100000000,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Skates-rays,8.032,2.000,,,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,,9.307,,,2.000,,8.662,10.000,,,,,5.389,,8.171,,7.525,,6.735,8.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Gag grouper (0-3yr)",,,,7.409,,1.000,9.527,,1.000,,,,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,,1.000,8.171,7.744,7.525,7.295,6.735,8.737,8.591,8.215,7.754,7.959,7.479,,10.000,6.652,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
27,"Gag grouper (3+yr)",,,,,,1.000,9.527,,1.000,,,,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,,,10000,,7.525,,6.735,8.737,,,,,,,,,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
28,"Red grouper (0-3yr)",,,,7.409,,1.000,9.527,,1.000,,,,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,,1.000,10000,7.744,7.525,7.295,6.735,8.737,8.591,8.215,7.754,7.959,7.479,,10.000,6.652,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
29,"Red grouper (3+yr)",,,,,,1.000,9.527,,1.000,,,,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,,,10000,,7.525,,6.735,8.737,,,,,,,,,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
30,"Yellowedge grouper (0-3yr)",,,,,,,9.527,,1.000,,,,,9.307,1000.0,1.000,,,8.662,,,,,,,1.000,10000,7.744,7.525,2.000,6.735,,,8.215,7.754,,,,10.000,,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
31,"Yellowedge grouper (3+yr)",,,,,,,9.527,,1.000,,,,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,,,,,,,,,,6.735,,8.591,,,,,,,,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
32,"Goliath grouper",,,,7.409,,1.000,9.527,,1.000,,,,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,,1.000,10000,7.744,7.525,2.000,,8.737,,8.215,7.754,7.959,7.479,,10.000,6.652,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
33,"Deep-water grouper",,,,,,,9.527,,1.000,,,,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,,,,,,,,,,6.735,,8.591,,,,7.479,,,6.652,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
34,"Shallow-water grouper",,,,7.409,,1.000,2.000,,1.000,,,1.000,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,7.754,7.959,7.479,,10.000,6.652,,,,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
35,"Red snapper (0yr)",,,,,,1.000,,1.000,1.000,,1.000,,10.000,,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,5.389,,,,7.525,,6.735,,,8.215,1000.0,7.959,,,10.000,,,,,,,5.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Red snapper (1-2yr)",,,,,,1.000,,1.000,1.000,,1.000,,10.000,,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,5.389,,,,7.525,,6.735,,,8.215,1000.0,1.000,,,10.000,,,,,,,5.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Red snapper (3+yr)",,,,,,1.000,,1.000,1.000,1.000,1.000,,10.000,,1000.0,1.000,,7.498,8.662,10.000,,1.000,,,5.389,,,,7.525,,6.735,8.737,,8.215,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Vermilion snapper",,,,,,1.000,,1.000,1.000,1.000,1.000,,10.000,,1000.0,1.000,,7.498,8.662,,,1.000,,,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,,,,,7.491,1000.0,5.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Mutton snapper",,,,,,1.000,,1.000,1.000,1.000,1.000,,10.000,,1000.0,1.000,,7.498,8.662,,,1.000,,,5.389,1.000,10000,7.744,7.525,2.000,,8.737,8.591,8.215,1000.0,1.000,100.00,,10.000,,,,,7.491,1000.0,5.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Other snapper",,,,,,1.000,,1.000,1.000,1.000,1.000,,10.000,,1000.0,1.000,,7.498,8.662,,,1.000,,,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,,10.000,,6.549,100000000,100000000,7.491,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Inshore coastal piscivores",8.032,,,7.409,7.929,1.000,9.527,9.008,1.000,1.000,1.000,1.000,,9.307,1000.0,1.000,,7.498,,10.000,,1.000,7.499,15.00,5.389,1.000,,7.744,,2.000,,,,,,,,,,,6.549,100000,1000.0,7.491,,5.006,1000.0,,4.994,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Sea trout",8.032,,,7.409,7.929,1.000,9.527,9.008,1.000,,1.000,1.000,,9.307,1000.0,1.000,,7.498,,10.000,,1.000,7.499,15.00,5.389,,,,,,,,,,,,,,,,6.549,100000,1000.0,7.491,,5.006,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Oceanic piscivores",8.032,2.000,,7.409,,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,,10.000,,1.000,,15.00,,,,,,,6.735,,,,1000.0,1.000,100.00,6.032,,,,,100000000,7.491,,5.006,1000.0,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
44,"Benthic piscivores",8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,1.000,1.000,,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,,8.591,8.215,1000.0,1.000,100.00,,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,5.006,1000.0,6.804,4.994,7.217,,,,,,,2.000,,,,,,,,,,,,,,,,,
45,"Reef piscivores",,,,,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,,,,1.000,,,,,,,7.525,,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,,,,,,1000.0,1.000,1000.0,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
46,"Reef invertebrate feeders",8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,1000.0,6.804,4.994,7.217,,,,,,,2.000,,,,,,,,,1000.0,,,,5.294,,,,
47,"Demersal coastal invertebrate feeders",8.032,,,7.409,7.929,1.000,9.527,9.008,1.000,1.000,1.000,1.000,20.00,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000,1000.0,1.000,1000.0,2.000,1000.0,6.804,4.994,1.000,,4.658,,,,,2.000,,,,,,,,,1000.0,,,,,,,,
48,"Red drum",8.032,,,,,1.000,,,1.000,,1.000,,,,,,,7.498,,,,,,,,,,,,,,,,,,,,,,,6.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Benthic coastal invertebrate feeders",8.032,,,7.409,7.929,1.000,1.000,9.008,1.000,1.000,1.000,1.000,20.00,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000,1000.0,1.000,1000.0,2.000,1000.0,6.804,10.000,7.217,2.000,4.658,4.436,,,,,,,,,,,,,,,,,,,,,
50,Tilefish,,,,,,,,,,1.000,,,10.000,,,,,,,,,1.000,,,,,,,,,,,,,,,,,,,,,100000000,,,,,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
51,"Gray triggerfish",8.032,,,,,1.000,1.000,1.000,1.000,1.000,,,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,,1.000,,,,,,,,,,,,,,,,,,6.652,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Coastal omnivores",8.032,,,7.409,,1.000,1.000,9.008,1.000,1.000,1.000,1.000,20.00,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,,8.215,1000.0,1.000,100.00,,10.000,6.652,6.549,100000,1000.0,1.000,1000.0,2.000,1000.0,6.804,10.000,,,,,,,,2.000,,,,,,,,,1000.0,,,,5.294,,100000,,1.411
53,"Reef omnivores",8.032,,,7.409,,1.000,9.527,1.000,1.000,1.000,,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,,1.000,,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,,8.215,1000.0,1.000,100.00,,10.000,6.652,6.549,100000000,100000000,,1000.0,22.00,10000,6.804,,7.217,,,,,,,,,,,,,,,,1000.0,,,,,,,,
54,"Surface pelagics",8.032,2.000,,7.409,,1.000,9.527,9.008,1.000,1.000,,,20.00,9.307,1000.0,1.000,2.000,7.498,8.662,,,1.000,,15.00,5.389,,,,,,,,,,,,,,,6.652,6.549,100000,1000.0,1.000,1000.0,2.000,1000.0,,10.000,,2.000,,,5.265,,,2.000,,,,,,,,,,,,,,,,,
55,"Large oceanic planktivores",,,,,,,,,1.000,1.000,,,10.000,,10.000,1.000,,7.498,,,,,,,,,,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Oceanic planktivores",8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,,,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,,1.000,,,,5.389,,,,,,,,,,1000.0,1.000,100.00,,,,,,100000000,1.000,1000.0,22.00,10000,,,7.217,,,,,7.001,6.697,2.000,,,,,,,,,,,,,,,,,
57,Sardine-herring-scad,8.032,2.000,2.000,7.409,7.929,1.000,2.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,1.000,2.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,,10.000,7.217,,1000.0,,5.265,,,2.000,,,,,,,,,1000.0,,,,5.294,,,,
58,"Menhaden (0yr)",,,,7.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.652,6.549,100000000,,1.000,,,10000,6.804,10.000,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Menhaden (1yr)",8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,,1.000,1.000,,,1000.0,,,7.498,8.662,10.000,1.000,1.000,7.499,15.00,,1.000,10000,,,,,,,,,,,,,6.652,6.549,100000000,100000000,1.000,,,10000,4.000,10.000,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Menhaden (2yr)",8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,,1.000,10000,,,,,,,,,,,,,6.652,6.549,100000000,100000000,1.000,,,10000,6.804,10.000,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Menhaden (3yr)",8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,,1.000,10000,,,,,,,,,,,,,6.652,6.549,100000000,100000000,1.000,,,10000,6.804,10.000,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Menhaden (4yr)",8.032,,,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,,1.000,10000,,,,,,,,,,,,,6.652,6.549,100000000,100000000,1.000,,,10000,6.804,10.000,,,,,,,,,,,,,,,,,,,,,,,,,
63,Anchovy-silverside-killifish,8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,1.000,1.000,1.000,15.00,5.389,1.000,,7.744,,2.000,,8.737,8.591,8.215,1000.0,1.000,100.00,,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,4.000,10.000,,,1000.0,,5.265,,,2.000,,,,,,1.500,,,100000,,,,5.294,,,,
64,Mullet,8.032,,,7.409,7.929,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,,10000,,,,,8.737,,,,,,,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,,10000,6.804,,,,,,,,,,,,,,,,,,,,,,5.294,,,,
65,Butterfish,8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,,,,,,,,8.591,,1000.0,1.000,100.00,,10.000,6.652,,,100000000,1.000,,,10000,,,7.217,,,,,,,,,,,,,,,,,,,,,,,,
66,Cephalopod,8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,4.000,10.000,1.000,2.000,1000.0,,5.265,7.001,6.697,2.000,,,,,,,,,1000.0,,,,5.294,,100000,,
67,"Pink shrimp",8.032,,,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,7.217,2.000,1000.0,4.436,5.265,,6.697,2.000,,,,,,1.500,,4.800,,,,,5.294,,,,
68,"Brown shrimp",8.032,,,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,7.217,2.000,1000.0,4.436,5.265,,6.697,2.000,,,,,,1.500,,4.800,,,,,5.294,,,,
69,"White shrimp",8.032,,,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,7.217,2.000,1000.0,4.436,5.265,,6.697,2.000,,,,,,1.500,,4.800,,,,,5.294,,,,
70,Crab,8.032,,,7.409,7.929,1.000,1.000,9.008,1.000,1.000,1.000,1.000,20.00,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000,1000.0,1.000,1000.0,2.000,1000.0,6.804,10.000,1.000,2.000,100.00,4.436,5.265,,,2.000,,,,,,,,,,,,,5.294,,,,
71,"Sessile epifauna",,,,7.409,7.929,,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,,7.498,8.662,10.000,,,,,5.389,1.000,10000,7.744,7.525,2.000,6.735,,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,1000.0,22.00,10000,4.000,10.000,1.000,2.000,1000.0,4.436,5.265,,,2.000,,,,,,1.500,,4.800,,3.265,1.467,8.000,,,100000,,
72,"Mobile epifauna",8.032,,2.000,7.409,7.929,1.000,1.000,9.008,8.996,1.000,1.000,1.000,20.00,9.307,1000.0,1.000,2.000,7.498,8.662,2.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,2.000,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000,1000.0,1.000,1000.0,1.000,1000.0,4.000,10.000,1.000,2.000,100.00,4.436,5.265,7.001,6.697,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,1000.0,3.265,1.467,5.000,5.294,1.252,100000,,1.411
73,Zooplankton,8.032,2.000,2.000,7.409,7.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,1.000,2.000,1000.0,4.436,5.265,7.001,6.697,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,1000.0,,,,,1.252,,1.421,
74,Infauna,8.032,,,7.409,7.929,1.000,2.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,2.000,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,1.000,2.000,1000.0,4.436,5.265,,6.697,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,1000.0,10.000,1.467,8.000,3.000,1.252,100000,,1.411
75,Algae,8.032,,,,7.929,1.000,,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,,7.498,,,,,,,5.389,1.000,,,,,,,,,1000.0,1.000,100.00,6.032,10.000,6.652,6.549,100000000,100000000,1.000,,22.00,10000,6.804,10.000,,2.000,1000.0,4.436,5.265,,,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,,3.265,1.467,8.000,5.294,,100000,,
76,Seagrass,,,,7.409,7.929,1.000,2.000,1.000,1.000,1.000,1.000,1.000,10.000,9.307,,1.000,2.000,7.498,8.662,,,1.000,,,5.389,1.000,,7.744,,,,,,,,,,,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,,2.000,1000.0,4.436,5.265,7.001,,2.000,,,,,,1.500,3.133,4.800,,,,,,,100000,,
77,Phytoplankton,,,,,,,,,,,,,,,,,,7.498,,,,,,,,,,,,,,,,8.215,,,,,10.000,6.652,6.549,100000000,,,1000.0,22.00,10000,,10.000,,2.000,1000.0,4.436,5.265,,,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,,3.265,1.467,8.000,,1.252,100000,1.421,1.411
78,Detritus,8.032,2.000,,7.409,,1.000,9.527,1.000,1.000,1.000,1.000,1.000,10.000,9.307,1000.0,1.000,2.000,7.498,8.662,10.000,1.000,1.000,7.499,15.00,5.389,1.000,10000,7.744,7.525,2.000,6.735,8.737,8.591,8.215,1000.0,1.000,100.00,6.032,10.000,1.000,6.549,100000000,100000000,1.000,1000.0,22.00,10000,6.804,10.000,7.217,2.000,1000.0,4.436,5.265,,,2.000,2.000,1.000,2.366,10.000,10.000,1.500,3.133,4.800,1000.0,3.265,1.467,8.000,5.294,1.252,100000,1.421,1.411
